# data/report-Dec-01-2014-17h41.txt
Generating reports for examples/generated/small/**/*.log
------------------------------------------------------------------------------
               examples/generated/small/**/*.log (timeout 10s)                
------------------------------------------------------------------------------
history                 | algorithm     | steps | concurrency | time       | v
ScalObject-bkq.22.log   | Counting(0)   | 20    | 1.3±0.5     | 1.3664s    | -
ScalObject-bkq.22.log   | Counting(0)+R | 20    | 1.3±0.5     | 0.4753s    | -
ScalObject-bkq.22.log   | Symbolic      | 15    | 1.1±0.4     | 0.0611s    | √
ScalObject-bkq.22.log   | Symbolic+R    | 15    | 1.1±0.4     | 0.0285s    | √
ScalObject-bkq.22.log   | Saturate      | 17    | 1.2±0.4     | 0.0095s    | √
ScalObject-bkq.22.log   | Saturate+R    | 17    | 1.2±0.4     | 0.0086s    | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.23.log   | Enumerate+C   | 20*   | 2.5±0.9     | 10.0031s*  | -
ScalObject-bkq.23.log   | Counting(4)   | 20    | 2.5±0.9     | 0.9582s    | -
ScalObject-bkq.23.log   | Counting(4)+R | 20    | 2.5±0.9     | 0.648s     | -
ScalObject-bkq.23.log   | Counting(2)   | 20    | 2.5±0.9     | 1.1667s    | -
ScalObject-bkq.23.log   | Counting(2)+R | 20    | 2.5±0.9     | 0.7322s    | -
ScalObject-bkq.23.log   | Counting(0)   | 20    | 2.5±0.9     | 1.2176s    | -
ScalObject-bkq.23.log   | Counting(0)+R | 20    | 2.5±0.9     | 0.7063s    | -
ScalObject-bkq.23.log   | Symbolic      | 20    | 2.5±0.9     | 0.5356s    | -
ScalObject-bkq.23.log   | Symbolic+R    | 20    | 2.5±0.9     | 0.3596s    | -
ScalObject-bkq.23.log   | Saturate      | 20    | 2.5±0.9     | 0.0123s    | -
ScalObject-bkq.23.log   | Saturate+R    | 20    | 2.5±0.9     | 0.0154s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.24.log   | Enumerate+C   | 17    | 1.6±0.5     | 1.5368s    | √
ScalObject-bkq.24.log   | Counting(4)   | 17    | 1.6±0.5     | 0.3118s    | √
ScalObject-bkq.24.log   | Counting(4)+R | 17    | 1.6±0.5     | 0.1847s    | √
ScalObject-bkq.24.log   | Counting(2)   | 20    | 1.5±0.5     | 0.997s     | -
ScalObject-bkq.24.log   | Counting(2)+R | 20    | 1.5±0.5     | 0.3046s    | -
ScalObject-bkq.24.log   | Counting(0)   | 20    | 1.5±0.5     | 1.4164s    | -
ScalObject-bkq.24.log   | Counting(0)+R | 20    | 1.5±0.5     | 0.3266s    | -
